id,labels,sentences,PROPN,PROPN+NOUN,PROPN+NOUN+*+NUM,PROPN+NOUN+*+$MONEY,PROPN+*+NOUN,PROPN+*+[deal],PROPN+*+[Social],PROPN+*+[Social]+NOUN,PROPN+*+[Social]+[deal],PROPN+*+$ORG,PROPN+*+$ORG+NOUN,PROPN+*+$ORG+[deal],PROPN+[deal],PROPN+[deal]+*+NUM,PROPN+[deal]+*+$MONEY,PROPN+[Social],PROPN+[Social]+NOUN,PROPN+[Social]+NOUN+*+NUM,PROPN+[Social]+NOUN+*+$MONEY,PROPN+[Social]+*+NOUN,PROPN+[Social]+*+[deal],PROPN+[Social]+[deal],PROPN+[Social]+[deal]+*+NUM,PROPN+[Social]+[deal]+*+$MONEY,PROPN+$ORG,PROPN+$ORG+NOUN,PROPN+$ORG+NOUN+*+NUM,PROPN+$ORG+NOUN+*+$MONEY,PROPN+$ORG+*+NOUN,PROPN+$ORG+*+[deal],PROPN+$ORG+[deal],PROPN+$ORG+[deal]+*+NUM,PROPN+$ORG+[deal]+*+$MONEY,PROPN|[deal],PROPN|$MONEY,ADV,ADV+ADJ,ADV+*+ADJ,ADV+*+ADJ+NOUN,ADV|[deal],ADV|$MONEY,NUM,NUM+ADV,NUM+*+PRON+VERB,NUM+*+PRON+VERB+NOUN,NUM+*+PRON,NUM+*+ADV,NUM|[deal],[deal],[deal]+*+NUM,[deal]+*+$MONEY,[deal]|ADV,[deal]|NUM,[deal]|$MONEY,[buy],[buy]+*+PROPN,[buy]+*+PROPN+NOUN,[buy]+*+PROPN+[deal],[buy]+*+PROPN+[Social],[buy]+*+PROPN+[Social]+NOUN,[buy]+*+PROPN+[Social]+[deal],[buy]+*+PROPN+$ORG,[buy]+*+PROPN+$ORG+NOUN,[buy]+*+PROPN+$ORG+[deal],[buy]+*+[Living],[buy]+*+[Living]+PROPN,[buy]+*+[Living]+PROPN+NOUN,[buy]+*+[Living]+PROPN+[deal],[buy]+*+[Living]+[Social],[buy]+*+[Living]+[Social]+NOUN,[buy]+*+[Living]+[Social]+[deal],[buy]+*+[Living]+$ORG,[buy]+*+[Living]+$ORG+NOUN,[buy]+*+[Living]+$ORG+[deal],[buy]+*+$ORG,[buy]+*+$ORG+PROPN,[buy]+*+$ORG+PROPN+NOUN,[buy]+*+$ORG+PROPN+[deal],[buy]+*+$ORG+NOUN,[buy]+*+$ORG+[deal],[buy]+*+$ORG+[Social],[buy]+*+$ORG+[Social]+NOUN,[buy]+*+$ORG+[Social]+[deal],[buy]|ADV,[buy]|NUM,[buy]|[deal],[buy]|$MONEY,[Living],[Living]+PROPN,[Living]+PROPN+NOUN,[Living]+PROPN+NOUN+*+NUM,[Living]+PROPN+NOUN+*+$MONEY,[Living]+PROPN+*+NOUN,[Living]+PROPN+*+[deal],[Living]+PROPN+[deal],[Living]+PROPN+[deal]+*+NUM,[Living]+PROPN+[deal]+*+$MONEY,[Living]+*+PROPN,[Living]+*+PROPN+NOUN,[Living]+*+PROPN+[deal],[Living]+*+NOUN,[Living]+*+[deal],[Living]+*+[Social],[Living]+*+[Social]+NOUN,[Living]+*+[Social]+[deal],[Living]+*+$ORG,[Living]+*+$ORG+NOUN,[Living]+*+$ORG+[deal],[Living]+[Social],[Living]+[Social]+NOUN,[Living]+[Social]+NOUN+*+NUM,[Living]+[Social]+NOUN+*+$MONEY,[Living]+[Social]+*+NOUN,[Living]+[Social]+*+[deal],[Living]+[Social]+[deal],[Living]+[Social]+[deal]+*+NUM,[Living]+[Social]+[deal]+*+$MONEY,[Living]+$ORG,[Living]+$ORG+NOUN,[Living]+$ORG+NOUN+*+NUM,[Living]+$ORG+NOUN+*+$MONEY,[Living]+$ORG+*+NOUN,[Living]+$ORG+*+[deal],[Living]+$ORG+[deal],[Living]+$ORG+[deal]+*+NUM,[Living]+$ORG+[deal]+*+$MONEY,[Living]|ADV,[Living]|NUM,[Living]|[deal],[Living]|$MONEY,[Social],[Social]+NOUN,[Social]+NOUN+*+NUM,[Social]+NOUN+*+$MONEY,[Social]+*+NOUN,[Social]+*+[deal],[Social]+[deal],[Social]+[deal]+*+NUM,[Social]+[deal]+*+$MONEY,[Social]|ADV,[Social]|NUM,[Social]|[deal],[Social]|$MONEY,$MONEY,$MONEY+ADV,$MONEY+*+PRON+VERB,$MONEY+*+PRON+VERB+NOUN,$MONEY+*+PRON,$MONEY+*+PRON|ADV,$MONEY+*+ADV,$MONEY+*+ADV|PRON,$MONEY|ADV,$MONEY|[deal],$ORG,$ORG+PROPN,$ORG+PROPN+NOUN,$ORG+PROPN+NOUN+*+NUM,$ORG+PROPN+NOUN+*+$MONEY,$ORG+PROPN+*+NOUN,$ORG+PROPN+*+[deal],$ORG+PROPN+[deal],$ORG+PROPN+[deal]+*+NUM,$ORG+PROPN+[deal]+*+$MONEY,$ORG+NOUN,$ORG+NOUN+*+NUM,$ORG+NOUN+*+$MONEY,$ORG+*+PROPN,$ORG+*+PROPN+NOUN,$ORG+*+PROPN+[deal],$ORG+*+NOUN,$ORG+*+[deal],$ORG+*+[Social],$ORG+*+[Social]+NOUN,$ORG+*+[Social]+[deal],$ORG+[deal],$ORG+[deal]+*+NUM,$ORG+[deal]+*+$MONEY,$ORG+[Social],$ORG+[Social]+NOUN,$ORG+[Social]+NOUN+*+NUM,$ORG+[Social]+NOUN+*+$MONEY,$ORG+[Social]+*+NOUN,$ORG+[Social]+*+[deal],$ORG+[Social]+[deal],$ORG+[Social]+[deal]+*+NUM,$ORG+[Social]+[deal]+*+$MONEY,$ORG|ADV,$ORG|NUM,$ORG|[deal],$ORG|$MONEY
s28,1,I bought a Living Social deal $30 for $60 awhile back.,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
s103,1,Large selection of dishes for under $9 and there is tons of food.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,1,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
s0,1,"This particular location has a good check in deal.
",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
s20,1,"Too many other places to shop with better prices.
",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
s53,0,"Today we waited over ten minutes behind one car in the drive thru for their single order
",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
s57,0,"The only problem we really had was the ladies at the front office were sorta rude and looked annoyed at us.
",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
s75,0,"Give me a good waiter and decent food and it's hard to not impress.
",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s35,0,"needless to say whomever told me this , is a genius .
",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s97,0,"the waiter was friendly and helpful
",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s89,0,"I cannot believe someone was not satisfied with the quality of the chicken at this location!
",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
